质点运动学	 example	196	(untitled)	一个质点从圆周上的某点出发，沿半圆运动到对径点。若圆半径为 \(R\)，则它的路程是 \( R\)，而位移的大小是 \(2R\)。
质点运动学	 example	294	(untitled)	一辆汽车从静止出发，以加速度 \(a=2m/s^2\) 做匀加速直线运动，求 \(5\) 秒后的速度和位移。
质点运动学	 example	329	(untitled)	平抛运动中，若初速度水平向右，大小为 \(v_0\)，忽略空气阻力，则 \[
质点运动学	 selfcheck	415	什么情况下 \(\Delta s\neq \abs{\Delta \vb*{r}}\)？为什么匀速圆周运动的速率不变，仍然有加速度？	
质点运动学	 exercise	421	(untitled)	已知质点作直线运动，其位置方程为 \(x=2+3t-t^2\)。 求 \(t=1s\) 时的速度和加速度。
质点运动学	 exercise	439	(untitled)	一个质点做半径为 \(R\) 的匀速圆周运动，周期为 \(T\)。求其速度大小和法向加速度大小。
质点动力学基础	 example	621	(untitled)	质量为 \(m\) 的小物块放在倾角为 \(\) 的光滑斜面上，求其加速度。
质点动力学基础	 selfcheck	660	普通静摩擦力一定等于 \(\mu N\) 吗？作用力和反作用力为什么不能互相抵消？	
质点动力学基础	 exercise	662	(untitled)	质量为 \(m\) 的物体在水平面上受水平恒力 \(F\) 作用，若水平面光滑，求其加速度。
质点动力学基础	 exercise	675	(untitled)	一个质量为 \(m\) 的物体静止在粗糙水平面上，受到大小为 \(f\) 的水平推力但仍静止。问静摩擦力大小是多少？
三大守恒定律	 example	795	(untitled)	质量为 \(m_1\) 的小球以速度 \(v_1\) 撞上原来静止的质量为 \(m_2\) 的小球，若碰后它们粘在一起运动，求共同速度。
三大守恒定律	 selfcheck	1052	什么时候优先看动量守恒，什么时候优先看机械能守恒？角动量守恒为什么能接到刚体转动？	
三大守恒定律	 exercise	1058	(untitled)	一质量为 \(m\) 的物体从高为 \(h\) 的位置由静止自由下落，忽略空气阻力，落到地面时速度多大？
三大守恒定律	 exercise	1078	(untitled)	若某系统在一段过程中所受合外力矩为零，则哪个物理量守恒？
刚体力学	 example	1307	(untitled)	质量为 \(m\)、半径为 \(R\) 的质点绕圆心转动，其转动惯量为 \(J=mR^2\)。
刚体力学	 example	1330	均匀细杆绕中心的转动惯量	求质量为 \(m\)、长度为 \(\) 的均匀细杆，绕通过中点且垂直于杆的轴的转动惯量。
刚体力学	 example	1377	细杆绕端点的转动惯量	质量为 \(m\)、长度为 \(\) 的均匀细杆，求它绕通过中点且垂直于杆的轴，以及绕一端且垂直于杆的轴的转动惯量。
刚体力学	 example	1404	细圆环与均匀圆盘	求质量为 \(m\)、半径为 \(R\) 的均匀细圆环，以及质量为 \(m\)、半径为 \(R\) 的均匀圆盘，绕通过中心且垂直盘面的轴的转动惯量。
刚体力学	 example	1431	薄球壳与均匀实心球	求质量为 \(m\)、半径为 \(R\) 的薄球壳，以及质量为 \(m\)、半径为 \(R\) 的均匀实心球，绕直径的转动惯量。
刚体力学	 example	1534	轻绳绕轮：怎样列出平动与转动方程	质量为 \(m\) 的重物由轻绳悬挂在半径为 \(R\)、转动惯量为 \(J\) 的轮边缘，绳不打滑，轮轴无摩擦。系统由静止释放，求重物加速度 \(a\)。
刚体力学	 example	1645	均匀细杆绕端点由水平下摆	质量为 \(m\)、长度为 \(\) 的均匀细杆，可绕一端转动。细杆从水平位置由静止释放。设转过的角度为 \(\)（即细杆相对初始水平线下摆了 \(\)），求该位置的角速度 \(\) 和角加速度 \(\)。
刚体力学	 example	1691	重物带动圆盘转动	质量为 \(m_0\)、半径为 \(R\) 的均匀圆盘可绕中心自由转动，一条轻绳绕在圆盘边缘，一端悬挂质量为 \(m\) 的重物。若系统由静止开始运动，当重物下降高度 \(h\) 时，速度为多大？
刚体力学	 example	1722	小球撞杆：为什么一定要分两阶段	质量为 \(m\) 的小球以速度 \(v\) 垂直击中一根质量为 \(m_r\)、长度为 \(\) 的细杆末端。细杆可绕另一端转动，碰后小球粘在杆上。写出碰撞后瞬间角速度 \(_0\) 与随后最大摆角 \(_\) 满足的方程。
刚体力学	 example	1820	(untitled)	一个质量 \(m=0.5kg\) 的陀螺，转动惯量 \(J=2.0e-3kg.m^2\)，质心到支点距离 \(r=4cm\)，自转角速度 \(=100rad/s\)。求进动角速度和进动周期。
刚体力学	 selfcheck	1882	为什么同样质量离转轴越远，刚体越难“转起来”？为什么 \(M=J\alpha\) 只是 \(M=\dv{L}{t}\) 的特例？为什么碰撞题往往必须分成“碰撞瞬间”和“碰后转动”两阶段？为什么陀螺常常先发生进动，而不是立刻倒下？	
刚体力学	 exercise	1891	(untitled)	一圆盘绕固定轴转动，若所受合外力矩为常量 \(M\)，转动惯量为 \(J\)，求角加速度。
刚体力学	 exercise	1908	(untitled)	质量为 \(m\)、长度为 \(\) 的均匀细杆，求它绕中心且垂直于杆的轴，以及绕一端且垂直于杆的轴的转动惯量。
刚体力学	 exercise	1931	(untitled)	若外力矩可以忽略，花样滑冰运动员把转动惯量从 \(J_1\) 缩小到 \(J_2\)，角速度会怎样变化？
机械振动	 example	2091	用平衡位置证明竖直弹簧振子作简谐振动	一轻弹簧上端固定，下端挂一重物。静止时弹簧伸长 \(l=9.8\ cm\)。现给物体一个向下的瞬时冲击，使它在 \(t=0\) 时通过平衡位置并具有向下速度 \(v_0=1\ m/s\)。证明物体作简谐振动，并写出振动方程。
机械振动	 example	2208	由位置和速度确定初相	某简谐振动的振幅为 \(A\)，角频率为 \(\)。已知 \(t=0\) 时 \(x_0=A/2\)，且质点正沿负方向运动。求初相 \(_0\)。
机械振动	 example	2387	由位移判断能量分配	某弹簧振子振幅为 \(A\)。当质点位于 \(x=A/2\) 处时，求动能和势能各占总机械能的多少。
机械振动	 example	2458	如何快速判断合振幅	若两振动振幅相同，均为 \(A\)，且相位差为 \(\)，求合振幅。
机械振动	 example	2538	拍频听起来在说什么	若两音叉频率分别为 \(256\ Hz\) 和 \(258\ Hz\)，那么你每秒会听到多少次明显的强弱变化？
机械振动	 example	2662	(untitled)	一个弹簧振子，\(m=0.2kg\)，\(k=50N/m\)，阻尼系数 \(=0.4kg/s\)。求：(1) 固有角频率；(2) 阻尼振动角频率；(3) 振幅衰减到初始值 \(1/e\) 所需时间。
机械振动	 example	2741	共振为什么既有利又有风险	秋千越荡越高，是因为人在合适节奏下持续给系统输入能量，属于共振的利用；桥梁、机器若在固有频率附近被长期驱动，振幅可能过大，则属于共振风险。
机械振动	 example	2749	(untitled)	一根弹簧振子，固有频率 \(f_0=5Hz\)，阻尼系数 \(=2s^-1\)，驱动力振幅 \(F_0=0.1N\)，质量 \(m=0.05kg\)。求共振时稳态振幅。
机械振动	 selfcheck	2778	为什么周期振动不一定是简谐振动？单摆、复摆和扭摆分别是靠什么回复作用回到平衡位置的？拍频和振动本身的频率为什么不是一回事？	
机械振动	 exercise	2780	(untitled)	一简谐振动满足 \(x=A( t)\)。求其最大速度和最大加速度。
机械振动	 exercise	2791	(untitled)	若某振动满足 \([2]xt+25x=0\)， 说明它为什么是简谐振动，并求其角频率和周期。
机械振动	 exercise	2807	(untitled)	两个同方向、同频率的简谐振动振幅都为 \(A\)，相位差为 \(/3\)。求合振幅。
机械波	 example	3287	振幅加倍时能流密度怎样变	若同一介质中两列简谐波的波速和频率都相同，但第二列波的振幅是第一列的 2 倍，求两列波平均能流密度之比。
机械波	 example	3571	多普勒题先别急着套总公式	救护车警报声的多普勒题，最稳的做法不是一上来记正负号，而是先回答两句：是谁在运动？是在靠近还是远离？只要这两步不乱，分子分母的符号通常就不会错。
